YEAR,"Almeida, Monica","Armstrong, Larry","Atkins, Lacy","Ballard, Kathleen","Barmann, Timothy C.","Barnard, Tony","Barr, John T.","Barrera, Aurelio Jose","Becker, David","Bennett, Bruce, $d 1906-2007","Bessel, Larry","Booth, Thelma","Boston, Bernie","Brown, Frank Q.","Brown, Sarah M.","Browne, Rick","Caccavo, James","Carraro, R.","Carrick, Jack","Chamberlin, Bob","Chase, Harry","Cohen, Cassy","Cooper, Gil","Cormier, Don","Corrales, Rick","Cox, Bruce H.","Dare, Ken","Davis, Larry","Diamos, Marianna","Downing, Larry","Downs, Patrick","Dryden, Ian","Durell, Robert","Dykes, Steve","Edwards, Mike","Finley, Howard, $d b. 1899 or 1900","Flynn, Scott","Fontanini, Steve","Frampton, Mary","Friedman, Gary","Fry, George R.","Gabriel, Robert","Gadbery, Brian","Galvez, Jose","Gaunt, Jack","Gladstone, Penni",Goodyear Tire and Rubber Company,"Graham, Ray","Gunderson, Judd","Hackley, Gene","Hall, Kari Rene","Hansen, H.Lee","Harnett, Andrew","Hartnett, Martha","Herod, Jack, $d b. ca. 1916","Hively, Ken","Hurley, Ted","Innerarity, Andrew","Jaskol, Ellen","Kamin, Jayne","Kaul, Rosemary","Kelly, Wayne F.","Kelsey, Thomas","Kennedy, Joe","Keyes, Con","Lachman, Robert","Ledford, Duke Emmett, $d 1894-1961","Leffingwell, Randy","Lindbeck, Bob","Lubas, Ken","Lynn, Bob","Mack, Lou","Mally, Michael","Malmin, John","Maple, Christine","Markado, Al","Martin, Barbara","Mathew, Craig T.","McCarthy, Hilaria","McKoy, Kirk","Meadows, Mike","Melcon, Mel","Meyer, Rick","Miller, Jack","Montney, Cal","Murphy, Bill","Murphy, William S.","Olender, Ben","Oliver, R. L.","Olmos, Edward James","Owens, Charles H.",Pacific Goldfish Farm,"Rapping, Anacleto","Robinson, Julian","Rogers, Art","Romerein, Lisa","Rose, George","Roth, Marissa","Ruhlow, Jerry","Rynearson, Mike","Saxon, Reed","Schneider, Iris","Share, Jeff","Sharkey, Larry","Shepler, Lori","Smith, Gary","Snyder, Bill","Snyder, William Earl, $d 1896-1956","Streano, Vince","Terrell, Maurice","Tiffany, Nelson","Traeger, Marsha","Varie, Bill","Vitti, Joe","Wallace, Gordon Charles, $d 1909-1992","Watson, George R., $d 1892-1977","Whitney, Fitzgerald","Yada, Michael","Yaro, Boris","Yee, Marilynn K.",Unknown 
3/14/57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
3/14/58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
3/14/59,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,15
3/14/60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
3/14/61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
3/14/62,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,8
3/14/63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,20
3/14/64,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,54
3/14/65,,,,,,,,,,,,,,2,,,,,,,,,,,,1,1,,,,,,,,,,,,2,,1,,,,1,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,36
3/14/66,,,,,,,,,,,,,,3,,,,,1,,1,,,1,,4,,,,,,,,,,,,,1,,1,,,,,,,,2,1,,,,,,,,,,,,,,1,,,,,,,,,,2,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,23
3/14/67,,,,,,,,,,,,,,,,,,,1,,1,,,1,,1,1,,,,,,,,,,,1,,,1,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,14
3/14/68,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,7
3/14/69,,,,,,,,,,,,,,1,,,,,,,,,,1,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,7
3/14/70,,,,2,,,,,,,1,,,2,,2,,,,,1,,,4,,2,,,,,,,,,,,,,1,,3,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,2,,,3,,,,,,,4,,,,,,,,,,,,,,1,,,,1,,,,1,,,,13
3/14/71,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,9
3/14/72,,,,1,,1,,,,,,,,1,,,,,,,,,,3,,1,,,,,,,,,,,,,2,,1,,,,1,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,1,,4
3/14/73,,,,,,2,,,,,,,,,,3,1,,,,1,,1,,,1,,,1,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,5,,,,,,,,,1,,2,,,2,,,,,,,2,,,,1,,2,,,1,,,,,,,,,,,,,3,,1,,3
3/14/74,,,,,,3,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,5,,,,,,,,,,,3,1,1,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,2,,,,7
3/14/75,,,,1,,,,,,,2,,,,,,,,,,1,,,,,,,,,2,,,,,,,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,4,,3,1,6
3/14/76,,,,1,,,,,,,1,,1,,,,,,,,2,,,,,1,,,,,,,,,,,,1,2,,,,,,,1,,,,,,,,,,,,,,,,,,4,,2,,,,,,,2,5,,,,,,,,,1,,2,,1,,,,,,,,3,,,,,,,,,1,,,,,,,,,2,,,,,,1,,3
3/14/77,,,,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,3,1,1,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,1,,1,,5
3/14/78,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,6
3/14/79,,1,,,,1,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,1,,4,,,,,,,,,,,,,,,,1,,,,2,1,,,7
3/14/80,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,3,,,,1,,,,,,,,,,2,,1,,,,2,,,,,1,,,,,,,,,,,,1,,1,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,12
3/14/81,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,1,,,,5
